immediate_amount,delayed_amount,delay
12,25,11
13,25,37
13,25,58
16,25,14
17,25,48
18,25,98
19,25,2
19,25,5
20,25,1
20,25,158
21,25,30
21,25,76
22,25,136
23,25,145
24,25,112
24,25,173
24,25,180
11,30,109
14,30,7
15,30,4
15,30,16
18,30,106
20,30,126
22,30,9
23,30,3
25,30,8
26,30,15
27,30,44
27,30,111
28,30,45
28,30,113
29,30,87
29,30,130
29,30,170
10,35,25
10,35,99
11,35,35
12,35,12
13,35,43
14,35,6
16,35,119
17,35,168
25,35,159
26,35,22
30,35,42
31,35,81
33,35,61
33,35,152
34,35,47
34,35,110
34,35,160
